State,CD,Name,Incumbent,Party,Dem16,GOP16,Dem12,GOP12,Dem08,GOP08
ND,1,ND01,"Cramer, Kevin",(R),27.7,64.1,38.9,58.7,44.6,53.3
NE,1,NE01,"Fortenberry, Jeff",(R),36.2,57.5,40.8,57.5,44.2,54.3
NE,2,NE02,"Bacon, Don",(R),46,48.2,45.7,52.8,50,48.8
NE,3,NE03,"Smith, Adrian",(R),20,74.9,27.8,70.2,31.1,67.1
NH,1,NH01,"Shea-Porter, Carol",(D),46.6,48.2,50.2,48.6,52.8,46.4
NH,2,NH02,"Kuster, Annie",(D),48.6,46.2,54.2,44.5,56,43.1
NJ,1,NJ01,"Norcross, Donald",(D),60.6,36.1,65.1,33.8,64.7,34.2
NJ,2,NJ02,"LoBiondo, Frank",(R),46,50.6,53.5,45.4,53.2,45.5
NJ,3,NJ03,"MacArthur, Tom",(R),45.2,51.4,51.8,47.2,51.1,47.7
NJ,4,NJ04,"Smith, Chris",(R),41,55.8,44.7,54.2,45.3,53.6
NJ,5,NJ05,"Gottheimer, Josh",(D),47.7,48.8,47.9,50.9,48.5,50.5
NJ,6,NJ06,"Pallone, Frank",(D),56.2,40.6,61.4,37.4,58.4,40.5
NJ,7,NJ07,"Lance, Leonard",(R),48.6,47.5,46.3,52.5,47.2,51.6
NJ,8,NJ08,"Sires, Albio",(D),75.7,21.5,78.3,20.8,73.2,26
NJ,9,NJ09,"Pascrell, Bill",(D),64.3,33.1,68.4,30.8,64,35.2
NJ,10,NJ10,"Payne, Donald",(D),85.2,12.8,87.9,11.5,84.9,14.6
NJ,11,NJ11,"Frelinghuysen, Rodney",(R),47.9,48.8,46.6,52.4,47,52.1
NJ,12,NJ12,"Watson Coleman, Bonnie",(D),65,31.8,66.5,32.4,65.7,33.3
NM,1,NM01,"Lujan Grisham, Michelle",(D),51.6,35.1,55.3,39.6,59.7,39
NM,2,NM02,"Pearce, Steve",(R),39.9,50.1,44.9,51.7,48.4,50.2
NM,3,NM03,"Lujan, Ben",(D),51.8,36.7,57.5,38.7,61.2,37.5
NV,1,NV01,"Titus, Dina",(D),61.6,32.6,65.6,32.4,64.5,33
NV,2,NV02,"Amodei, Mark",(R),39.7,52,44.8,52.9,49.4,48.2
NV,3,NV03,"Rosen, Jacky",(D),46.5,47.5,49.5,48.7,53.5,44.6
NV,4,NV04,"Kihuen, Ruben",(D),49.5,44.6,54.4,43.7,56.4,41.4
NY,1,NY01,"Zeldin, Lee",(R),42.2,54.5,49.6,49.1,51,48
NY,2,NY02,"King, Peter",(R),43.9,53,51.6,47.2,51,48
NY,3,NY03,"Suozzi, Tom",(D),51.6,45.5,50.8,48.2,54,46
NY,4,NY04,"Rice, Kathleen",(D),53.4,43.8,56.3,42.8,55,44
NY,5,NY05,"Meeks, Gregory",(D),85.7,12.7,90.6,9.1,86,14
NY,6,NY06,"Meng, Grace",(D),65.1,32.1,67.8,31,63,36
NY,7,NY07,"Velazquez, Nydia",(D),86.9,10.4,88.4,10.3,84,15
NY,8,NY08,"Jeffries, Hakeem",(D),84.6,13.5,89.3,10.1,86,14
NY,9,NY09,"Clarke, Yvette",(D),83.5,14.4,85.3,13.8,84,15
NY,10,NY10,"Nadler, Jerrold",(D),78.3,18.8,73.6,25,76,23
NY,11,NY11,"Donovan, Dan",(R),43.8,53.6,51.6,47.3,48,51
NY,12,NY12,"Maloney, Carolyn",(D),83.3,13.5,76.9,21.5,80,19
NY,13,NY13,"Espaillat, Adriano",(D),92.3,5.4,94.6,4.6,93,6
NY,14,NY14,"Crowley, Joe",(D),77.7,19.8,80.7,18.3,76,23
NY,15,NY15,"Serrano, Jose",(D),93.8,4.9,96.7,3,95,5
NY,16,NY16,"Engel, Eliot",(D),75.1,22.5,73.7,25.5,73,26
NY,17,NY17,"Lowey, Nita",(D),58.6,38.4,57.1,41.8,58,41
NY,18,NY18,"Maloney, Sean",(D),47.1,49,51.4,47.1,52,47
NY,19,NY19,"Faso, John",(R),44,50.8,52.1,45.9,53,45
NY,20,NY20,"Tonko, Paul",(D),54,40.5,59.2,38.8,58,40
NY,21,NY21,"Stefanik, Elise",(R),40,53.9,52.2,46.1,52,47
NY,22,NY22,"Tenney, Claudia",(R),39.3,54.8,48.8,49.2,49,49
NY,23,NY23,"Reed, Tom",(R),39.7,54.5,48.4,49.6,50,49
NY,24,NY24,"Katko, John",(R),48.9,45.3,57,41.1,56,42
NY,25,NY25,,(D),55.5,39.1,58.8,39.4,59,40
NY,26,NY26,"Higgins, Brian",(D),57.6,38,63.9,34.3,63,35
NY,27,NY27,"Collins, Chris",(R),35.2,59.7,42.9,55.3,44,54
OH,1,OH01,"Chabot, Steve",(R),44.6,51.2,46.3,52.4,47.2,51.8
OH,2,OH02,"Wenstrup, Brad",(R),39.7,55.8,43.7,54.7,44.3,54.2
OH,3,OH03,"Beatty, Joyce",(D),67,28.6,69.7,28.9,67.4,31.3
OH,4,OH04,"Jordan, Jim",(R),30.7,64.3,42,56,43.7,54.4
OH,5,OH05,"Latta, Bob",(R),34.6,59.7,44.1,53.9,46,52.2
OH,6,OH06,"Johnson, Bill",(R),26.7,69.3,42.7,55.2,44.7,53.1
OH,7,OH07,"Gibbs, Bob",(R),32.8,62.5,44.2,53.7,46.9,50.9
OH,8,OH08,"Davidson, Warren",(R),30.6,65.1,36.4,61.9,38.1,60.3
OH,9,OH09,"Kaptur, Marcy",(D),58.7,36.5,67.6,30.9,66.8,31.6
OH,10,OH10,"Turner, Michael",(R),44,51.3,48.2,50.1,49.3,49.3
OH,11,OH11,"Fudge, Marcia",(D),80.5,17,82.7,16.5,82,17.2
OH,12,OH12,,(R),41.9,53.2,43.9,54.4,44.8,53.7
OH,13,OH13,"Ryan, Tim",(D),51.1,44.6,62.9,35.4,62.3,35.8
OH,14,OH14,"Joyce, David",(R),42.1,53.6,47.6,50.9,49.1,49.4
OH,15,OH15,"Stivers, Steve",(R),39.9,55.3,46.3,51.9,46.1,52.2
OH,16,OH16,"Renacci, Jim",(R),39.5,56.2,45.2,53.4,47.2,51.3
OK,1,OK01,,(R),32.7,61.4,34.2,65.8,35.8,64.2
OK,2,OK02,"Mullin, Markwayne",(R),22.8,72.9,32.2,67.8,34.3,65.7
OK,3,OK03,"Lucas, Frank",(R),20.9,73.6,26.1,73.9,27.1,72.9
OK,4,OK04,"Cole, Tom",(R),28.3,65.7,32.9,67.1,33.9,66.1
OK,5,OK05,"Russell, Steve",(R),39.8,53.2,40.8,59.2,40.8,59.2
OR,1,OR01,"Bonamici, Suzanne",(D),57.3,34.5,57.3,40,59.6,37.7
OR,2,OR02,"Walden, Greg",(R),36.4,56.5,40.5,56.8,43.3,53.8
OR,3,OR03,"Blumenauer, Earl",(D),70.7,22.5,72,24.7,72.9,24.3
OR,4,OR04,"DeFazio, Peter",(D),46.1,46,51.7,45,54.2,42.7
OR,5,OR05,"Schrader, Kurt",(D),48.3,44.1,50.5,47.1,53,44.2
PA,1,PA01,"Fitzpatrick, Brian",(R),49.1,47.1,50.2,48.6,53.9,45
PA,2,PA02,"Boyle, Brendan",(D),72.9,24.9,77.4,21.8,73.1,26.1
PA,3,PA03,"Evans, Dwight",(D),90.9,7,91.7,7.6,91.8,7.8
PA,4,PA04,OPEN (no incumbent),(D),57.8,38.5,56.1,42.8,59.5,39.6
PA,5,PA05,OPEN (no incumbent),(R),62.6,34.4,63.4,35.7,62.8,36.3
PA,6,PA06,"Costello, Ryan",(R),52.6,43.3,51,47.8,55.7,43.4
PA,7,PA07,OPEN (no incumbent),(R),48.7,47.6,52.9,45.9,56.6,42.1
PA,8,PA08,"Cartwright, Matt",(D),43.7,53.3,55.3,43.4,56.7,42.3
PA,9,PA09,OPEN (no incumbent),(R),31,65,41.2,57.2,45.6,53
PA,10,PA10,"Perry, Scott",(R),43.4,52.3,46,52.6,48.6,50.3
PA,11,PA11,"Smucker, Lloyd",(R),34.7,60.5,38,60.5,42,57.1
PA,12,PA12,"Marino, Tom",(R),29.7,66.1,36.8,61.5,41.7,57
PA,13,PA13,OPEN (no incumbent),(R),25.5,71.2,32.1,66.6,37,61.8
PA,14,PA14,VACANT,,33.9,62.9,40.6,58.3,44.7,54.2
PA,15,PA15,"Thompson, Glenn",(R),26.5,69.8,35.7,62.6,42.6,55.8
PA,16,PA16,"Kelly, Mike",(R),37.9,57.9,46.9,51.7,49.6,49
PA,17,PA17,"Rothfus, Keith
Lamb, Conor","(R)
(D)",46.8,49.4,47.2,51.7,48.6,50.5
PA,18,PA18,"Doyle, Mike",(D),62.1,34.6,63.5,35.2,63.4,35.7
RI,1,RI01,"Cicilline, David",(D),60.5,34.9,66.2,32.2,66.6,31.8
RI,2,RI02,"Langevin, Jim",(D),51.1,44,59.8,38.3,59.9,38.3
SC,1,SC01,"Sanford, Mark",(R),40.4,53.5,40.2,58.3,42.7,56.1
SC,2,SC02,"Wilson, Joe",(R),38.6,56.3,39.4,59.1,39.4,59.5
SC,3,SC03,"Duncan, Jeff",(R),29,67,33.9,64.5,35.1,63.5
SC,4,SC04,"Gowdy, Trey",(R),34.5,60.2,36.2,62.2,37.7,60.6
SC,5,SC05,"Norman, Ralph",(R),38.8,57.3,43.6,55.1,43.8,55
SC,6,SC06,"Clyburn, Jim",(D),66.8,30.3,70.9,28.1,70.1,28.9
SC,7,SC07,"Rice, Tom",(R),39.1,58,44.4,54.5,45.3,53.6
SD,1,SD01,"Noem, Kristi",(R),31.7,61.5,39.9,57.9,44.7,53.2
TN,1,TN01,"Roe, Phil",(R),19.7,76.7,25.7,72.7,28.6,69.9
TN,2,TN02,"Duncan, John",(R),29.7,65.1,30.9,67.3,34.5,64
TN,3,TN03,"Fleischmann, Chuck",(R),30.2,65.4,35.1,63.3,37.3,61.3
TN,4,TN04,"DesJarlais, Scott",(R),27.4,68.6,33.1,65.3,35.8,62.6
TN,5,TN05,"Cooper, Jim",(D),56.5,38.2,55.9,42.5,57.5,41.3
TN,6,TN06,"Black, Diane",(R),23.7,72.6,29.5,69.1,33.5,64.9
TN,7,TN07,"Blackburn, Marsha",(R),28.2,67.5,32.9,65.7,36.3,62.4
TN,8,TN08,"Kustoff, David",(R),30.7,66.3,32.9,66.1,34.9,64.1
TN,9,TN09,"Cohen, Steve",(D),77.5,19.8,78.4,20.9,77,22.5
TX,1,TX01,"Gohmert, Louie",(R),25.3,72.2,27.5,71.6,30,69
TX,2,TX02,"Poe, Ted",(R),43.1,52.4,35.6,62.9,37,62
TX,3,TX03,"Johnson, Sam",(R),40.6,54.8,34.2,64.3,37,61
TX,4,TX04,"Ratcliffe, John",(R),21.8,75.4,24.8,74,29,70
TX,5,TX05,"Hensarling, Jeb",(R),34.3,62.7,34.4,64.5,37,62
TX,6,TX06,"Barton, Joe",(R),41.9,54.2,40.8,57.9,42,57
TX,7,TX07,"Culberson, John",(R),48.5,47.1,38.6,59.9,40,59
TX,8,TX08,"Brady, Kevin",(R),23.9,72.7,21.7,77,26,73
TX,9,TX09,"Green, Al",(D),79.3,18,78,21.1,76,23
TX,10,TX10,"McCaul, Michael",(R),43.2,52.3,38.8,59.1,43,56
TX,11,TX11,"Conaway, Michael",(R),19.1,77.8,19.6,79.2,23,76
TX,12,TX12,"Granger, Kay",(R),32.7,62.9,31.7,66.8,35,64
TX,13,TX13,"Thornberry, Mac",(R),16.9,79.9,18.5,80.2,22,77
TX,14,TX14,"Weber, Randy",(R),38.4,58.2,39.5,59.3,42,57
TX,15,TX15,"Gonzalez, Vicente",(D),56.7,40,57.4,41.5,57,42
TX,16,TX16,"O'Rourke, Beto",(D),67.9,27.2,64.2,34.5,64,35
TX,17,TX17,"Flores, Bill",(R),38.8,56.3,37.7,60.4,41,58
TX,18,TX18,"Jackson-Lee, Sheila",(D),76.5,20,76.1,22.8,77,23
TX,19,TX19,"Arrington, Jodey",(R),23.5,72.5,25,73.6,28,71
TX,20,TX20,"Castro, Joaquin",(D),61,34.3,58.9,39.7,58,41
TX,21,TX21,"Smith, Lamar",(R),42.5,52.5,37.9,59.8,42,56
TX,22,TX22,"Olson, Pete",(R),44.2,52.1,36.7,62.1,39,60
TX,23,TX23,"Hurd, Will",(R),49.8,46.4,48.1,50.7,50,49
TX,24,TX24,"Marchant, Kenny",(R),44.5,50.7,38,60.4,41,58
TX,25,TX25,"Williams, Roger",(R),40.2,55.1,37.8,59.9,43,56
TX,26,TX26,"Burgess, Michael",(R),34.4,60.9,30.7,67.6,35,64
TX,27,TX27,"Cloud, Michael",(R),36.5,60.1,38.2,60.5,40,59
TX,28,TX28,"Cuellar, Henry",(D),58.3,38.5,60.3,38.7,58,41
TX,29,TX29,"Green, Gene",(D),71.1,25.4,65.9,33,62,37
TX,30,TX30,"Johnson, E.B.",(D),79.1,18.3,79.6,19.6,78,21
TX,31,TX31,"Carter, John",(R),40.8,53.5,38.3,59.6,43,56
TX,32,TX32,"Sessions, Pete",(R),48.5,46.6,41.5,57,44,55
TX,33,TX33,"Veasey, Marc",(D),72.9,23.7,72,27.1,69,31
TX,34,TX34,"Vela, Filemon",(D),59.2,37.7,60.8,38.3,60,39
TX,35,TX35,"Doggett, Lloyd",(D),64.1,30.5,63,34.6,63,35
TX,36,TX36,"Babin, Brian",(R),25.2,72,25.7,73.2,30,69
UT,1,UT01,"Bishop, Rob",(R),22.4,49.7,20.4,77.4,29.4,67.7
UT,2,UT02,"Stewart, Chris",(R),32,46,29.2,68,38.4,58.5
UT,3,UT03,"Curtis, John",(R),23.3,47.2,19.5,78.3,29.5,67.5
UT,4,UT04,"Love, Mia",(R),32.4,39.1,30.2,67.2,40.9,56.1
VA,1,VA01,"Wittman, Rob",(R),41.2,53.6,43.4,55.3,43.8,55.4
VA,2,VA02,"Taylor, Scott",(R),45.4,48.8,48.2,50.5,47.9,51.1
VA,3,VA03,"Scott, Bobby",(D),63.6,31.9,67.6,31.3,65.4,33.9
VA,4,VA04,"McEachin, Donald",(D),58.7,37.1,60.3,38.5,60.1,39.1
VA,5,VA05,"Garrett, Tom",(R),42.3,53.4,45.9,52.5,46.8,52.2
VA,6,VA06,"Goodlatte, Bob",(R),34.9,59.7,39.5,58.8,41.2,57.7
VA,7,VA07,"Brat, Dave",(R),44,50.5,44.1,54.6,44.9,54.3
VA,8,VA08,"Beyer, Don",(D),73.5,20.9,67.8,31,66.3,32.8
VA,9,VA09,"Griffith, Morgan",(R),27.3,68.8,34.9,63.1,39.7,58.9
VA,10,VA10,"Comstock, Barbara",(R),52.2,42.2,48.8,49.9,49.6,49.6
VA,11,VA11,"Connolly, Gerry",(D),66.9,27.5,62.5,36.3,60.7,38.5
VT,1,VT01,"Welch, Peter",(D),56.7,30.3,67,31.2,67.8,30.6
WA,1,WA01,"DelBene, Suzan",(D),54.1,37.8,54.1,43.3,56.3,41.9
WA,2,WA02,"Larsen, Rick",(D),56.9,34.8,59.2,38,60.5,37.6
WA,3,WA03,"Herrera Beutler, Jaime",(R),42.5,49.9,47.9,49.6,50.9,47.1
WA,4,WA04,"Newhouse, Dan",(R),35.1,57.9,37.9,59.7,39.2,58.9
WA,5,WA05,"McMorris Rodgers, Cathy",(R),39.1,52.2,43.7,53.5,46.3,51.2
WA,6,WA06,"Kilmer, Derek",(D),51.8,39.5,56.1,41.2,57,40.9
WA,7,WA07,"Jayapal, Pramila",(D),82.1,12.2,79.2,18.1,80.4,18
WA,8,WA08,"Reichert, David",(R),47.7,44.7,49.7,48.1,51.5,46.8
WA,9,WA09,"Smith, Adam",(D),70.5,23.3,68.3,29.6,68.6,29.9
WA,10,WA10,"Heck, Denny",(D),51.3,39.9,56.3,41.1,57.2,41
WI,1,WI01,"Ryan, Paul",(R),42.3,52.6,47.4,51.6,50.8,48.1
WI,2,WI02,"Pocan, Mark",(D),65.8,29,68.3,30.5,70.1,28.6
WI,3,WI03,"Kind, Ron",(D),44.8,49.3,54.8,43.8,59.4,39.1
WI,4,WI04,"Moore, Gwen",(D),74,21.8,75.3,23.8,74.4,24.6
WI,5,WI05,"Sensenbrenner, Jim",(R),37.3,57.4,37.7,61.3,41.8,57.2
WI,6,WI06,"Grothman, Glenn",(R),38.8,55.7,45.8,53.1,49.4,49.3
WI,7,WI07,"Duffy, Sean",(R),37.3,57.7,47.8,50.9,53.2,45.3
WI,8,WI08,"Gallagher, Mike",(R),38.6,56.2,47.6,51.3,53.7,45
WV,1,WV01,"McKinley, David",(R),26.4,68,35.5,62.2,41.5,56.7
WV,2,WV02,"Mooney, Alex",(R),29.4,65.8,38,60,43.9,54.7
WV,3,WV03,"Jenkins, Evan",(R),23.3,72.5,32.8,65,42.3,55.7
WY,1,WY01,"Cheney, Liz",(R),22.5,70.1,28,69.2,32.7,65.2
FL,01,FL01r,"Gaetz, Matt",(R),28.2,67.5,30.1,68.5,32,66.8
FL,02,FL02r,"Dunn, Neal",(R),30.6,66.2,34,64.6,35.2,63.4
FL,03,FL03r,"Yoho, Ted",(R),40.2,56.2,41.9,56.6,44.2,54.6
FL,04,FL04r,"Rutherford, John",(R),34.1,62.1,32.8,66.1,34.8,64.2
FL,05,FL05r,"Lawson, Al",(D),61.3,35.9,63.6,35.4,63.2,35.9
FL,06,FL06r,"DeSantis, Ron",(R),39.9,56.9,46.6,52.2,50.1,48.7
FL,07,FL07r,"Murphy, Stephanie",(D),51.4,44.1,49.4,49.4,51.1,48
FL,08,FL08r,"Posey, Bill",(R),37.7,58.4,42.1,56.6,43.8,54.9
FL,09,FL09r,"Soto, Darren",(D),54.8,41.9,55.6,43.4,54.6,44.5
FL,10,FL10r,"Demings, Val",(D),61.8,34.9,60.7,38.4,60.9,38.5
FL,11,FL11r,"Webster, Dan",(R),32.5,64.8,39.8,59.2,42.6,56.1
FL,12,FL12r,"Bilirakis, Gus",(R),38.8,57.4,45.5,53,47.4,51.2
FL,13,FL13r,"Crist, Charlie",(D),49.6,46.4,54.6,43.9,55.5,43
FL,14,FL14r,"Castor, Kathy",(D),57.2,39,57.6,41.2,58.1,40.9
FL,15,FL15r,"Ross, Dennis",(R),43.1,53.1,46.6,52.2,46.7,52.1
FL,16,FL16r,"Buchanan, Vern",(R),43,53.7,45.1,53.7,47.7,51.2
FL,17,FL17r,"Rooney, Tom",(R),35,62.2,41.3,57.6,43.9,54.7
FL,18,FL18r,"Mast, Brian",(R),44.1,53.3,47.7,51.4,51.2,47.9
FL,19,FL19r,"Rooney, Francis",(R),37.5,59.6,38.7,60.5,42.3,56.8
FL,20,FL20r,"Hastings, Alcee",(D),80.2,18.1,82.5,17.1,80.9,18.6
FL,21,FL21r,"Frankel, Lois",(D),58.6,39.1,60.4,38.9,63.4,35.9
FL,22,FL22r,"Deutch, Ted",(D),56.8,41,56.3,43,58.3,41
FL,23,FL23r,"Wasserman Schultz, Debbie",(D),61.9,35.8,61.4,38,62,37.3
FL,24,FL24r,"Wilson, Frederica",(D),82.9,15.4,85.7,13.9,84,15.6
FL,25,FL25r,"Diaz-Balart, Mario",(R),47.9,49.7,44.9,54.5,40.6,58.8
FL,26,FL26r,"Curbelo, Carlos",(R),56.8,40.5,55.4,43.9,51.5,47.9
FL,27,FL27r,"Ros-Lehtinen, Ileana",(R),58.5,38.9,53,46.3,50.1,49.3
NC,01,NC01r,"Butterfield, G.K.",(D),67.5,30.5,68.1,31.2,67.3,32.2
NC,02,NC02r,"Holding, George",(R),43.6,53.2,43,56,44.8,54.3
NC,03,NC03r,"Jones, Walter",(R),36.9,60.5,40.6,58.5,42.4,56.8
NC,04,NC04r,"Price, David",(D),68.2,28.2,64.5,34.2,65.8,33.2
NC,05,NC05r,"Foxx, Virginia",(R),39.8,57.4,42.3,56.5,44.6,54.2
NC,06,NC06r,"Walker, Mark",(R),41.4,56.1,43.2,55.9,45.2,53.8
NC,07,NC07r,"Rouzer, David",(R),39.9,57.6,43.2,55.9,44.6,54.6
NC,08,NC08r,"Hudson, Richard",(R),41.1,56.1,44.4,54.7,45.3,53.9
NC,09,NC09r,"Pittenger, Robert",(R),42.8,54.4,43.8,55.4,45.2,54
NC,10,NC10r,"McHenry, Patrick",(R),36.4,61,40.4,58.5,41.6,57.4
NC,11,NC11r,"Meadows, Mark",(R),34,63.2,39.1,59.6,41.5,57.1
NC,12,NC12r,"Adams, Alma",(D),68.4,28.4,67.8,31.3,68,31.3
NC,13,NC13r,"Budd, Ted",(R),44,53.4,46.1,52.9,47.9,51.2
PA,01,PA01r,"Brady, Bob",(D),79.5,18.2,82.3,16.9,78.7,20.6
PA,02,PA02r,"Evans, Dwight",(D),90.4,7.6,90.4,9,91,8.8
PA,03,PA03r,"Kelly, Mike",(R),35,61.1,43,55.6,46.3,52.3
PA,04,PA04r,"Perry, Scott",(R),37.1,58.6,41.5,57.1,45.1,53.8
PA,05,PA05r,"Thompson, Glenn",(R),33.5,62.3,41.5,57.1,47.1,51.5
PA,06,PA06r,"Costello, Ryan",(R),48.2,47.6,48.1,50.6,53,46
PA,07,PA07r,"Meehan, Pat",(R),49.3,47,48.5,50.4,51.2,47.8
PA,08,PA08r,"Fitzpatrick, Brian",(R),48,48.2,49.3,49.4,53.2,45.7
PA,09,PA09r,"Schuster, Bill",(R),27.2,69.7,35.9,62.8,40.9,57.9
PA,10,PA10r,"Marino, Tom",(R),30.1,66.1,38.4,60.1,42.3,56.5
PA,11,PA11r,"Barletta, Lou",(R),36.2,60,44.5,53.9,47.1,51.7
PA,12,PA12r,"Rothfus, Keith",(R),37.9,58.7,40.9,57.8,44.7,54.1
PA,13,PA13r,"Boyle, Brendan",(D),65.3,31.7,66.2,32.9,65.4,33.7
PA,14,PA14r,"Doyle, Michael",(D),66,30.5,68,30.6,67,32
PA,15,PA15r,"Dent, Charlie",(R),44.2,51.8,47.9,50.8,52.1,46.6
PA,16,PA16r,"Smucker, Lloyd",(R),44.2,51,46.3,52.4,50.1,49
PA,17,PA17r,"Cartwright, Matt",(D),43.3,53.4,55.4,43.3,56.9,41.9
PA,18,PA18r,,(R),38.5,58.1,41,57.9,43.8,55.2
